,Headline,Body ID,Stance
1,Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,agree
2,"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",137,unrelated
3,HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1034,unrelated
4,Spider burrowed through tourist's stomach and up into his chest,1923,disagree
6,"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",962,unrelated
7,Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,unrelated
8,Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,agree
9,British Aid Worker Confirmed Murdered By ISIS,882,unrelated
10,Gateway Pundit,2327,discuss
11,"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,agree
12,Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1003,unrelated
13,"No, that high school kid didn't make $72 million trading stocks",2132,unrelated
14,"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",47,discuss
15,Vandals add rude paint job to $2.5m Bugatti (but luckily for the owner it all turned out to be a hoax),615,unrelated
16,Boko Haram Denies Nigeria Cease-Fire Claim,2463,discuss
18,N. Korea’s Kim has leg injury but in control,570,unrelated
19,ISIL Beheads American Photojournalist in Iraq,608,discuss
22,NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1545,unrelated
23,Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1196,unrelated
24,NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,agree
25,Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,agree
26,"Luke Somers Dies In Rescue Attempt, Sister Says; Yemeni Defense Ministry Says Unnamed US Hostage Freed",56,unrelated
28,Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2327,unrelated
29,Report: Christian Bale Just Bailed on the Steve Jobs Movie,1157,discuss
30,Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,132,unrelated
32,"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",2344,unrelated
33,"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",625,unrelated
34,"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",2176,unrelated
35,Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,394,discuss
36,Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,agree
37,Would-be rapist has penis severed by angry mob,1040,unrelated
38,Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,unrelated
39,Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1337,unrelated
40,"At CBS Detroit, Fan Site 'Scuttlebutt' Is Enough to Publish Batmobile Rumor",280,unrelated
41,Nasa questions whether crater in Nicaragua caused by meteorite,534,unrelated
43,"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,unrelated
44,Experts: More facts needed on purported audio recording of Michael Brown shooting,1481,unrelated
45,"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,unrelated
46,Student accidentally sets college on fire during fireworks proposal,1592,agree
48,Rumors of ISIS leader's death debunked,1255,unrelated
50,Boko Haram ceasefire ignored as violence flares in Borno state,2045,unrelated
51,BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2296,unrelated
53,Pope Francis turns out not to have made pets in heaven comment,1905,disagree
54,British rapper a suspect in ISIS beheading,2295,unrelated
55,Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,agree
57,Bali Awry,181,unrelated
58,Islamic State Leader al-Baghdadi “Not Dead”,2036,unrelated
60,"No, it's not Tiger Woods selling an island in Lake Mälaren",965,disagree
61,"Why the Gold Apple Watch Edition Must Cost $10,000",816,unrelated
62,Would-be rapist has penis severed by angry mob,2106,unrelated
64,[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,373,unrelated
68,US confirms death of Somalia terror group leader,167,unrelated
69,Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1175,unrelated
70,ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1034,unrelated
72,Indian civil servant sacked 'after 24-year sickie',2441,agree
73,Batmobile wasn't stolen: Cops,1338,unrelated
75,BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,unrelated
76,Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,527,unrelated
78,Saudi fatwa banning snowmen triggers heated debate,26,unrelated
79,Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,487,unrelated
80,"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,agree
81,Everyone chill! Banksy has NOT been arrested,1898,unrelated
82,"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,unrelated
83,New Audio Shows Michael Brown Was Shot at 11 Times,1435,unrelated
84,"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",190,unrelated
